Drugname,Absorption/administration,Adverse effects,Contraindications,Distribution,Dosing/administration,Excretion,Indications,Interactions,Metabolism,Pharmacodynamics,Pharmacokinetics,Special notes,Special precautions,Structure/class,Toxicology,Withdrawal syndrome
BENZODIAZEPINES,"PO, IV, IM, PR","Extension of its pharmacologic properties
Oversedation, leading to respiratory depression (especially in patients with pre-existing pulmonary disease). It is a dose related inhibition of the respiratory centre.
CVS Depression (especially in patients who are hypovolemic/CCF/pre-existing CVS disease) due to inhibition of vasomotor centers.
CVS collapse is possible.
Effects more marked with IV use.
Tolerance (more drug needed to produce same effect)
Cross tolerance occurs with EtoH
May be due to down-regulation of BZD receptor
Dependence, both physiological and psychological
Characterized by anxiety, insomnia, CNS excitability and seizures in severe cases.
Higher dose/drugs with short T ½ and abrupt cessation leads to withdrawal symptoms.",,"Lipid soluble drug
Very strongly bound to plasma proteins.",For status: 0.15mg/kg IV; or 10mg PR and repeat in 10 minutes.,Renal,"Can be used in ED to treat status epilepticus
Procedural sedation
Aids induction prior to intubation
Alcohol withdrawal (Delirium tremens)
Other – muscle relaxation, sedative hypnotic in agitated patient, post intubation sedation.","Inhibitors of CYP 450 (e.g. amiodarone, cimetidine and antibiotics) may increase duration.
Inducers will reduce duration of action.
Additive toxicity (CVS and respiratory depression) with opioids.
Also additive toxicity with alcohol and other typical anti-psychotics (Esp. the phenothiazines)
It is antagonized by flumazenil","Refer to the diagram above for benzodiazepine metabolism. The asterisks indicate active metabolites. Note that diazepam is metabolized to desmethymdiazepam, which is active.
Lorazepam has no active metabolite.
Note that hepatic metabolism accounts for clearance of all benzodiazepines.
Most BZDs will undergo phase I reaction, catalyzed by CYP450 systems. The metabolites are then conjugated to form glucuronides and excreted.
However, many phase I metabolites are pharmacologically active, e.g. desmethyldiazepam. This means that the T ½ of diazepam is 40 hours.
Triazolam is metabolized to its α-hydroxy metabolites that do have activity, but they are rapidly conjugated.
Note that the metabolism of diazepam, midazolam and alprazolam may be induced/inhibited by other drugs.
In patients who are elderly and have severe disease, these drugs may have longer elimination half-lives.
In summary, BZDs undergo phase I and phase II reactions in the liver and are excreted by the kidneys. Liver disease affects T ½ but renal disease does not.","Binds to the benzodiazepine site of the GABA-A receptor.
Main function is to increase the efficiency of GABAergic synaptic inhibition.
Facilitates increased frequency (c.f. barbiturates, that increase duration) of the opening of chloride channel.
Benzodiazepines are unable to open the channel itself. (c.f. barbiturates, which can open the channels themselves at higher doses)",,,Elderly and those with pre-existing hepatic disease.,Sedative-hypnotic,"Flumazenil is the direct antidote
It is a competitive antagonist of benzodiazepines at the BZD receptor. It also reduces GABA binding. This leads to reduced chloride entry into the cell, and therefore reduced hyperpolarization and increased excitability.
Indications for flumazenil: a) avoid intubation after BZD overdose; b) reversal of BZD after procedural sedation; and c) diagnostic tool.
Adverse effects as follows:
Very short T ½ (duration of action is 1-3 hours) and therefore may need repeated dosing.
Unpredictable effect on antagonism of respiratory depression (that is, giving flumazenil may not reverse respiratory effects of BZDs)
Risk of precipitating seizures in mixed OD
Risk of precipitating withdrawal symptoms
Risk of precipitating seizures in a patient taking BZDs for epilepsy.
Due to unpredictable effect on antagonism, ongoing CVS/respiratory monitoring is required when used.",
CARBAMAZEPINE,"PO
Peak levels occur at 6 hours","Side effects as follows:
CNS (most common) – diplopia and ataxia. Mild drowsiness.
GIT upset
Idiosyncratic à blood dyscrasias and aplastic anaemia.
Rash",,"Distributes slowly.
Vd = 1L/kg,
It is 70% bound to plasma proteins but there is no displacement of other drugs.",,"Renal
 ","GTCS
Trigeminal neuralgia
Mania","Strong enzyme inducer and may also induce its own metabolism.
Other inducers, e.g. phenytoin/phenobarbital may decrease its level.
Other inhibitors (e.g.  valproate) may increase its levels.
 ","Completely metabolized hepatically to carbamazepine 10,11 epoxide (it has anti-convulsant activity)
Strong inducer of hepatic enzymes. May induce its own metabolism and may require frequent dose changes in the first few weeks of treatment.","Similar to phenytoin
Na+ channel blockade. Inhibits repetitive high frequency neuronal firing.
Also may potentiate K+ channel, causing hyperpolarization.",,,,Similar to TCA/Imipramine,,
CHLORAMPHENICOL,"PO, IV, topical","GIT – causes nausea, vomiting and diarrhea
Grey baby syndrome
Aplastic anaemia (rare idiosyncratic reaction affecting 1:40000, it is dose and duration dependent)", ,Wide – penetrates cell membranes. CSF levels are the same as plasma., ,"Urine, and a small amount in bile/faeces.","Microsomal enzyme inhibitor
Because chloramphenicol is bacteriostatic, it may reduce the activity of bactericidal drugs (e.g. penicillin/aminoglycosides)", ,"Inactivated by conjugation/glucuronidation. Therefore, dose must be markedly reduced in hepatic failure (but not renal failure)
Also a strong inhibitor of microsomal enzymes – leads to increased levels of phenytoin, warfarin and theophylline.","Chloramphenicol functions as an inhibitor of microbial protein synthesis by binding reversibly to the 50S subunit of the bacterial ribosome.
It is a bacteriostatic drug
It has a very broad spectrum – covers Gram+ve, Gram-ve, aerobic and anaerobic bacteria.
Its activity against intracellular organisms is against Rickettsia, but not against Chlamydia.
H.influenzae, Neisseria and bacteroides are all susceptible.
Hence, the indications are as follows:
Treatment of meningitis in patients with penicillin hypersensitivity.
Topically, in eye infections
Serious rickettsial infections, e.g. typhus or Rocky Mountain Spotted Fever
Resistance is due to the formation of chloramphenicol acetyltransferase, which inactivates the drug.",, , , , , 
CLINDAMYCIN, , , , , , , , , ,"Binds to the 50S ribosomal subunit.
Effective against Gram+ve bacteria and anaerobes (both Gram+ve and Gram-ve). It does not have activity against aerobic Gram-ve bacteria due to the presence of the cell wall.
It is effective against staph, strep and pneumococci, but enterococcus is resistant to clindamycin.
Therefore, indications for clindamycin are as follows:
Skin infections
Anaerobic infections
May be used to treat GIT infections or PID.
Note that resistance to clindamycin will confer cross resistance to macrolides. Resistance is due to:
Mutation of ribosomal receptor site
Modification of receptor site by methylase
Enzymatic inactivation.",, , ,A chlorine substitute of lincomycin (it does not contain the macrocyclic lactone ring associated with macrolides), , 
CODIENE/HYDROCODONE/OXYCODONE (pharmacokinetic profile),PO,,,,,"Renal/urine
Oxycodone’s metabolites may accumulate in renal failure, leading to prolonged sedation.",,,"Codiene, hydrocodone and oxycodone are all hepatically metabolised by CYP 2D6.
Codiene is a partial µ-receptor agonist. Hepatic metabolism is crucial in codeine because codeine has a low affinity for the opioid receptor site.
Codiene is metabolised to morphine.
However, depending on CYP activity, a patient may actually receive no analgesia/be over-analgesed.
The activity of oxycodone and hydrocodone do not depend on hepatic metabolism.",As above,,,,,,
COLCHICINE,,,,,,,,,,"Functions by binding to the intracellular protein tubulin, therefore preventing its polymerization and reducing leukocyte migration and phagocytosis.
It also inhibits the formation of LTB4.
Therefore, indications as follows:
Acute gout
Acute Mediterranean fever
May be effective in hepatic cirrhosis.
Its main side effect is diarrhea.
However, because it inhibits intracellular tubulin function, it can be quite toxic in overdoses. Acute OD will cause bloody diarrhea, shock and renal failure. Death is secondary to ascending CNS paralysis.
IV colchicine is thought to have more side effects.","Rapidly absorbed after PO administration.
Hepatically metabolized, and secreted in urine.",,, ,,
DEPOLARISING SKELETAL MUSCLE RELAXANT – SUXEMETHONIUM,IV only,"Hyperkalemia
Raised intra-ocular pressure (note that Sux is not an absolute CI unless the anterior chamber is open due to globe rupture)
Increased intra-gastric pressure (higher risk of aspiration)
Myalgia post-op
Malignant hyperthermia","Hyperkalemia
Also CI in other conditions that may release K+, e.g. burns, nerve damage, neuromuscular disease, closed head injury.
Pseudocholinesterase deficiency
Open anterior chamber/globe rupture",Very polar – small Vd.,"1mg/kg in adults
1-2mg/kg in paediatric population",Action terminated by diffusion,"RSI, due to rapid onset","Halothane gas – cardiac arrhythmias
 ","Sux is broken down by plasma cholinesterase and bytyrylcholinesterase (pseudocholinesterase)
No/very little metabolism occurs at the NMJ.
The offset of action is due to Sux diffusing away from the NMJ.
Onset time is 30-45s (slower in low cardiac output states) and offset time is 8-10 minutes.","Suxemethonium binds to the nicotinic receptor and activates it, causing depolarization of the motor end plate and spreading of the action potential.
However, it is not metabolized by true acetylcholinesterase at the NM junction, and therefore, repolarization cannot occur.
Since muscular contraction requires repetitive firing, a flaccid paralysis then occurs. The initial flaccid paralysis is known as phase I (depolarizing) block, and is further augmented by acetylcholinesterase inhibitors.
Prolonged exposure to suxemethonium causes a repolarization of the membrane, but it is not easily depolarized again. The membrane is said to be desensitized (phase II). The channel behaves as if it were blocked by non-depolarising agents and this phase may be reversed with acetylcholinesterase inhibitors.
Overall suxemethonium causes a paralysis in ~30s, affecting the arm, neck and leg muscles first before respiratory muscles.
CVS effects of suxemethonium
Suxemethonium stimulates nicotinic receptors at the sympathetic and parasympathetic ganglia, as well as muscarinic receptors in the heart. This leads to negative inotropy and negative chronotropy. Administration of an anti-cholinergic medication concurrently may reduce the response.
A second dose of Sux within 5 minutes may also cause bradycardia.",,,,Suxemethonium’s chemical structure is essentially two ACh molecules bound together.,,
DIGITALIS,,As mentioned above,,"It has a large Vd à 6.3L/kg. This allows it to enter the CNS. It accumulates in the heart, kidney and liver.",,"Mostly excreted unchanged in kidneys (And therefore, needs dose adjustment in renal failure). Its T ½ is 40 hours.","AF, especially in the setting of heart failure.
 ","Electrolytes
Hyperkalemia – hyperkalemia inhibits digoxin binding to the Na/K ATP-ase. Hyperkalemia itself also reduces cardiac automaticity. Therefore, moderate hyperkalemia will reduce the toxicity of digoxin.
Hypercalcaemia – potentiates digoxin toxicity by increasing the intracellular Ca2+ stores, producing automaticity.
Hypermagnesemia – opposite effect to hypercalcaemia.
Drugs that increase digoxin effect
Amiodarone (by increasing plasma digoxin concentrate), diltiazem, verapamil, quinidine, macrolide antibiotics (azithromycin, erythromycin and clarithromycin), K+ depleting drugs (including diuretics), spironolactone and propafenone.
Drugs that decrease digoxin effect
Kaolin pectin, rifampicin (by increasing metabolism) and sulfasalazine (by decreasing GI absorption)
 ",Less than 20% is metabolized.,"It is an inhibitor of Na+/K+ ATP-ase.
Therefore – this increases intracellular Na+ and decreased intracellular K+.
Because of increased intracellular Na+, there is reduced Na/Ca exchanger activity and therefore, there is an increase in intracellular calcium.
This increase in intracellular Ca2+ causes an increase in contractility.
Electrical effects
At higher concentrations of digitalis, a relative extracellular hyperkalemia and intracellular hypercalcaemia occurs.
This leads to increased automaticity of the heart muscle (easier for the myocyte to reach threshold potential). Therefore, there are patterns of bigeminy, followed by VT and then VF.
Parasympathetic and sympathetic effects
At lower doses, digoxin has parasympathetic effects: early signs of toxicity are bradycardia and AV block. At higher doses of toxicity, there is an increased sympathetic effect which may further sensitize the myocardium to automaticity.
Other system effects
GIT: it excites the GIT tissues, so patients develop anorexia/nausea/vomiting/diarrhea.
CNS: disorientation and visual hallucinations may be present.",,,"Renal failure
Hyperkalemia
Hypothyroidism",Cardiac glycoside,"Symptoms as mentioned above.
Specific antidote is DigiFab antibody, where 1 vial (40mg) binds to ~0.5mg digoxin.",
ETHANOL and ALCOHOL (METHANOL/ETHYLENE GLYCOL) TOXICITY,PO,As mentioned above,,"Well absorbed from GIT. Peak blood levels in 30 minutes.
Vd is ~0.7L/kg (total body water)
Ethanol easily passes BBB, and therefore readily enters the CNS.",,"Urine
Small amount in lungs (forms the basis for ethanol breathalyzer tests)",,"Enzyme induction leads to increased metabolism of drugs metabolized by the CYP450 system. Especially important in concurrent paracetamol overdose – increased metabolism of paracetamol to its toxic byproducts may increase hepatotoxicity.
Additive effects with other CNS depressants.","Metabolism follows zero order kinetics
~7-10mg/hour typically metabolized by average adult.
Ethanol is metabolized to acetaldehyde via two major pathways:
Alcohol dehydrogenase pathway
Alcohol dehydrogenase found mainly in liver, but small amounts can be found in the brain and stomach.
Alcohol is converted by alcohol dehydrogenase to acetaldehyde. NAD+ acts as a co-factor, and is converted to NADH.
Note that in acute toxicity, NADH will accumulate and cause lactic acidosis and hypoglycaemia.
Microsomal ethanol oxidizing system (MEOS)
MEOS uses CYP450 enzymes and NADPH as a co-factor.
It is inducible (and therefore ethanol may induce the metabolism of other drugs)
The acetaldehyde is then converted to acetate, which is broken down to CO2 and H2O. The enzyme metabolizing this reaction is aldehyde dehydrogenase.
Note that aldehyde dehydrogenase (and not alcohol dehydrogenase) is inhibited by disulfiram and other drugs (e.g. metronidazole and trimethoprim)","In CNS, ethanol affects many different receptors
Increased GABA activity at the GABA-A receptor
Decreased glutamate activity at the NMDA receptor
Also affects the Na/K ATPase, phospholipase C and other ion channels.
Organ system effects (acute)
CNS
Disinhibition, sedation, anxiolysis
At higher doses – coma, respiratory depression and death
CVS
Decreased myocardial contractility
Smooth muscle
Vasodilation, probably due to acetaldehyde
Organ system effects (chronic)
GIT and liver
Fatty liver disease à alcoholic hepatitis à cirrhosis/liver failure
Chronic pancreatitis
Gastritis
Multiple vitamin deficiencies (especially water soluble ones)
Nervous system
Tolerance and both physical and psychological dependence.
Withdrawal syndrome/delirium tremens if acute cessation. DTs are characterized by excitability/agitation and may cause seizures.
Neurotoxicity – peripheral neuropathy, ataxia, Wernicke-Korsakoff encephalopathy and optic neuropathy
CVS
Dilated cardiomyopathy with ventricular hypertrophy and fibrosis
Arrhythmias, probably due to chronic electrolyte abnormalities
HTN
Vascular disease – stroke/MI/PVD
Haematological
Iron deficiency anaemia secondary to gastritis
Folate deficiency – megaloblastic anaemia",,,"Be prepared to treat respiratory and CNS complications in acute intoxication
Respiratory: be prepared for respiratory depression, vomiting and aspiration
CNS: remember to give thiamine.
Also give glucose (monitor for hypoglycaemia)",,"Methanol
Found in “canned heat” and windshield washing products
The toxicity of methanol is due to the metabolic byproducts of formaldehyde and formic acid
Symptoms (note that because symptoms are due to metabolic byproducts, they are only seen ~6-30 hours post ingestion)
Non-specific early signs (intoxication, gastritis, high osmolar gap)
Characteristic visual disturbance – “like being in a snowstorm”
May progress to bradycardia, coma and seizures.
Death is due to respiratory arrest
Treatment
Good supportive care
Suppression of metabolism – fomepizole and IV ethanol are temporizing measures
Removal of toxin – haemodialysis
Alkalinisation in order to counteract metabolic acidosis (Na bicarbonate)
Folic acid and folinic acid may be useful adjuncts (but does not directly improve patient’s clinical state)
 
Ethylene glycol
Found in antifreeze/industrial solvent
Toxicity comes from its toxic byproducts (aldehydes and oxalate crystals)
Symptoms occur in three stages:
First few hours: CNS excitation, then CNS depression
Severe metabolic acidosis
Renal failure, due to oxalate crystals.
Features suggestive of ethylene glycol toxicity are HAGMA, high osmolar gap and oxalate crystals in urine. There is no visual disturbance.
Treatment
As with methanol toxicity: good supportive care, fomepizole, IV ethanol and haemodialysis.",
FENTANYL (pharmacokinetic profile),"PO, IV, SC, Patch, intra-nasal, lozenges",,,"Rapidly leaves the blood stream and accumulates in highly perfused tissues (brain/kidney/lung/heart)
Importantly, fentanyl is lipophilic and tends to accumulate in fatty tissue, particularly after high dose/long term infusion.
Overall high first pass metabolism.",,Renal,,,"Hepatic (almost fully metabolised) by CYP3A4 system (c.f. codeine, which is by the CYP2D6 system)
No active metabolites",As above,,,,Phenylpeperidine opioid (fentanyl/sufentanil/remifentanil/alfentanil),,
